feet,meters,millibars,psi,mmHg,inHg
0,0,1013.25,14.696,760,29.921
50,15.24,1011.42,14.669,758.63,29.867
100,30.48,1009.59,14.643,757.26,29.813
200,60.96,1005.95,14.59,754.52,29.706
300,91.44,1002.31,14.537,751.8,29.598
400,121.92,998.689,14.485,749.08,29.491
500,152.4,995.075,14.432,746.37,29.385
600,182.88,991.472,14.38,743.67,29.278
700,213.36,987.88,14.328,740.97,29.172
800,243.84,984.298,14.276,738.28,29.066
900,274.32,980.727,14.224,735.61,28.961
1000,304.8,977.166,14.173,732.93,28.856
2000,609.6,942.129,13.664,706.65,27.821
3000,914.4,908.117,13.171,681.14,26.817
4000,1219.2,875.105,12.692,656.38,25.842
5000,1524,843.073,12.228,632.36,24.896
6000,1828.8,811.996,11.777,609.05,23.978
7000,2133.6,781.854,11.34,586.44,23.088
8000,2438.4,752.624,10.916,564.51,22.225
9000,2743.2,724.285,10.505,543.26,21.388
10000,3048,696.817,10.106,522.66,20.577
15000,4572,571.82,8.2935,428.9,16.886
20000,6096,465.633,6.7534,349.25,13.75
25000,7620,376.009,5.4536,282.03,11.104
30000,9144,300.896,4.3641,225.69,8.8855
35000,10668,238.423,3.458,178.83,7.0406